id,title,alt_titles,author,author_variants,year,edition,series,volume_of,notes
1,The Hobbit,There and Back Again,J. R. R. Tolkien,"Tolkien, J. R. R.|J.R.R. Tolkien|John Ronald Reuel Tolkien|Tolkien",1937,First edition,,,Edition pair with 2
2,The Hobbit,There and Back Again,J. R. R. Tolkien,"Tolkien, J. R. R.|J.R.R. Tolkien|John Ronald Reuel Tolkien|Tolkien",2012,75th Anniversary Edition,,,Edition pair with 1
3,The Lord of the Rings,,J. R. R. Tolkien,"Tolkien, J. R. R.|J.R.R. Tolkien|John Ronald Reuel Tolkien",1968,Single-volume omnibus,The Lord of the Rings,,Omnibus of 4-6
4,The Fellowship of the Ring,,J. R. R. Tolkien,"Tolkien, J. R. R.|J.R.R. Tolkien",1954,,The Lord of the Rings,3,Volume of omnibus 3
5,The Two Towers,,J. R. R. Tolkien,"Tolkien, J. R. R.|J.R.R. Tolkien",1954,,The Lord of the Rings,3,Volume of omnibus 3
6,The Return of the King,,J. R. R. Tolkien,"Tolkien, J. R. R.|J.R.R. Tolkien",1955,,The Lord of the Rings,3,Volume of omnibus 3
7,The Silmarillion,,J. R. R. Tolkien,"Tolkien, J. R. R.|J.R.R. Tolkien",1977,,,,
8,Harry Potter and the Philosopher's Stone,Harry Potter and the Sorcerer's Stone,J. K. Rowling,"Rowling, J. K.|J.K. Rowling|Joanne Rowling",1997,UK edition,Harry Potter,,US/UK title split with 9
9,Harry Potter and the Sorcerer's Stone,Harry Potter and the Philosopher's Stone,J. K. Rowling,"Rowling, J. K.|J.K. Rowling|Joanne Rowling",1998,US edition,Harry Potter,,US/UK title split with 8
10,Harry Potter and the Chamber of Secrets,,J. K. Rowling,"Rowling, J. K.|J.K. Rowling",1998,,Harry Potter,,Long shared prefix with 8-15
11,Harry Potter and the Prisoner of Azkaban,,J. K. Rowling,"Rowling, J. K.|J.K. Rowling",1999,,Harry Potter,,Long shared prefix with 8-15
12,Harry Potter and the Goblet of Fire,,J. K. Rowling,"Rowling, J. K.|J.K. Rowling",2000,,Harry Potter,,Long shared prefix with 8-15
13,Harry Potter and the Order of the Phoenix,,J. K. Rowling,"Rowling, J. K.|J.K. Rowling",2003,,Harry Potter,,Long shared prefix with 8-15
14,Harry Potter and the Half-Blood Prince,,J. K. Rowling,"Rowling, J. K.|J.K. Rowling",2005,,Harry Potter,,Long shared prefix with 8-15
15,Harry Potter and the Deathly Hallows,,J. K. Rowling,"Rowling, J. K.|J.K. Rowling",2007,,Harry Potter,,Long shared prefix with 8-15
16,His Dark Materials,,Philip Pullman,"Pullman, Philip",2007,Omnibus,His Dark Materials,,Omnibus of 17 19 20
17,Northern Lights,The Golden Compass,Philip Pullman,"Pullman, Philip",1995,UK edition,His Dark Materials,16,US/UK title split with 18
18,The Golden Compass,Northern Lights,Philip Pullman,"Pullman, Philip",1996,US edition,His Dark Materials,16,US/UK title split with 17
19,The Subtle Knife,,Philip Pullman,"Pullman, Philip",1997,,His Dark Materials,16,Volume of omnibus 16
20,The Amber Spyglass,,Philip Pullman,"Pullman, Philip",2000,,His Dark Materials,16,Volume of omnibus 16
21,The Complete Sherlock Holmes,,Arthur Conan Doyle,"Doyle, Arthur Conan|Conan Doyle, Arthur|Sir Arthur Conan Doyle",1927,Collected edition,Sherlock Holmes,,Omnibus of 22-25
22,A Study in Scarlet,,Arthur Conan Doyle,"Doyle, Arthur Conan|Conan Doyle, Arthur",1887,,Sherlock Holmes,21,Volume of omnibus 21
23,The Sign of the Four,The Sign of Four,Arthur Conan Doyle,"Doyle, Arthur Conan|Conan Doyle, Arthur",1890,,Sherlock Holmes,21,Volume of omnibus 21
24,The Hound of the Baskervilles,,Arthur Conan Doyle,"Doyle, Arthur Conan|Conan Doyle, Arthur",1902,,Sherlock Holmes,21,Volume of omnibus 21
25,The Adventures of Sherlock Holmes,,Arthur Conan Doyle,"Doyle, Arthur Conan|Conan Doyle, Arthur",1892,,Sherlock Holmes,21,Volume of omnibus 21
26,The Divine Comedy,La Divina Commedia,Dante Alighieri,"Alighieri, Dante|Dante",1320,Collected edition,The Divine Comedy,,Omnibus of 27-29
27,Inferno,,Dante Alighieri,"Alighieri, Dante|Dante",1320,,The Divine Comedy,26,Shares title with 68
28,Purgatorio,,Dante Alighieri,"Alighieri, Dante|Dante",1320,,The Divine Comedy,26,Volume of omnibus 26
29,Paradiso,,Dante Alighieri,"Alighieri, Dante|Dante",1320,,The Divine Comedy,26,Volume of omnibus 26
30,Dune,,Frank Herbert,"Herbert, Frank",1965,First edition,Dune,,Edition pair with 31; substring of 32 and 33
31,Dune,,Frank Herbert,"Herbert, Frank",2021,Movie tie-in edition,Dune,,Edition pair with 30
32,Dune Messiah,,Frank Herbert,"Herbert, Frank",1969,,Dune,,Contains Dune as substring
33,Children of Dune,,Frank Herbert,"Herbert, Frank",1976,,Dune,,Contains Dune as substring
34,1984,Nineteen Eighty-Four,George Orwell,"Orwell, George|Eric Arthur Blair|Blair, Eric",1949,Signet Classics,,,Edition pair with 35; confusable with 67
35,Nineteen Eighty-Four,1984,George Orwell,"Orwell, George|Eric Arthur Blair",2003,Penguin Modern Classics,,,Edition pair with 34
36,Animal Farm,,George Orwell,"Orwell, George|Eric Arthur Blair",1945,,,,
